brands
EGLY-OURIET
EMILE PARIS & CIE
EMMANUELLE HERBLIN
ERIC RODEZ
ESTERLIN
EUGENE III
FAMILLE MOUSSE
FLUTEAU
FRANCIS ORBAN
FRANCK BONVILLE
FREREJEAN FRERES
G.H. MARTEL & CO.
GAMET
GASTON CHIQUET
GATINOIS
GEORGES LAVAL
GH MUMM
GIRARD-BONNET
GODME PERE ET FILS
GODME SABINE
GONET-MEDEVILLE
GOSSET
GOUTORBE BOUILLOT
GREMILLET
GUY CHARLEMAGNE
GUY LARMANDIER
GUYOT CHOPPIN
H. BILLIOT FILS
H. BLIN
H. GOUTORBE
H.LANVIN & FILS
HATON
HEIDSIECK & CO. MONOPOLE
HENRI DOSNON
HENRI DUBOIS
HENRI GIRAUD
HENRIOT
HOSTOMME
J. LASSALLE
J. VIGNIER
J.L. VERGNON
JACQUART
JACQUES BARDELOT
JACQUES COPINET
JACQUES SELOSSE
JACQUESSON
JCB
JEAN DE VILLARE
JEAN LALLEMENT
JEAN LAURENT
JEAN MILAN
JEAN RICHECOURT
JEAN VESSELLE
JEAUNAUX-ROBIN
JM GOBILLARD & FILS
J-M SELEQUE
JOSE DHONDT
JOSEPH PERRIER
JOSEPHINE
JUILLET-LALLEMENT
JULES LOREN
KARMA
KORBEL
KRUG
LA CLE DE LA FEMME
LA CLOSERIE
LA CLOSERIE DES LYS
LACOURTE-GODBILLON
LAHERTE FRERES
LALLIER
LANSON
LARMANDIER-BERNIER
LAURENT-PERRIER
LE CHEMIN DU ROI
LE MESNIL
LECLERC BRIANT
LEGUILLETTE ROMELET
LELARGE PUGEOT
LINARD-GONTIER
LIONNE ROYALE
LOMBARD & CIE
LOUIS DE BOME
LOUIS DE SACY
LOUIS DUMONT
LOUIS REVOIR
LOUIS ROEDERER
M. HASLINGER & FILS
MADAME ZERO
MAILLY
MAISON ANGELOT
MANDOIS
MARC HEBRART
MARGUET
MARIE COURTIN
MARIE DE MOY
MARIE STUART
MERCIER
MICHEL DERVIN
MICHEL GONET
MICHEL MAILLIARD
MICHEL TRIBAUT
MICHEL TURGY
MIRAVAL
MOD
MOET & CHANDON
MONTAUDON
MONTHUYS PERE ET FILS
MOUSSE FILS
MOUTARD PERE & FILS
NICOLAS FEUILLATTE
PALMER & CO
PANNIER
PASCAL DOQUET
PASCAL LALLEMENT
PAUL BARA
PAUL LAURENT
PEHU SIMONET
PERRIER JOUET
PERTOIS-MORISET
PETIT & BAJAN
PHILIPPE FONTAINE
PHILIPPE FOURRIER
PHILIPPE GAMET
PHILIPPE GLAVIER
PHILIPPE GONET
PHILIPPONNAT
PIERRE GERBAIS
PIERRE GIMONNET & FILS
PIERRE GOBILLARD
PIERRE MONCUIT
PIERRE PAILLARD
PIERRE PETERS
PIPER-HEIDSIECK
PLOYEZ-JACQUEMART
POL ROGER
POMMERY
PRIVATE LABEL
R. DUMONT & FILS
R. POUILLON & FILS
R.H.COUTIER
REMOVE - NOT FRENCH CHAMPAGNE
RENE GEOFFROY
ROBERT DE PAMPIGNAC
ROBERT MONCUIT
ROLAND CHAMPION
ROSES DE JEANNE
ROYAL SEYSSEL
RUELLE PERTOIS
RUINART
SADI MALOT
SAINT-CHAMANT
SALON
SERVEAUX FILS
STEPHANE COQUILLETTE
SUENEN CHAMPAGNE
TAITTINGER
TARLANT
THIENOT
TROUILLARD
TSARINE
ULYSSE COLLIN
ULYSSES
VAL FRISON
VALENTIN LEFLAIVE
VARNIER-FANNIERE
VAZART COQUART & FILS
VEUVE CLICQUOT
VIGNOBLE BRISEBARRE
VILMART & CIE
VOLLEREAUX
VOUETTE & SORBEE
VRANKEN
VVE FOURNY & FILS
